subnarrative,definition,examples,instruction for annotators
CC: Downplaying climate change: Humans and nature will adapt to the changes,Statements claiming that whatever the changes in climate humans or nature will manage to find solutions to adapt.,"”It might create a few challenges here and there, but we will invest in some technology and will handle the effects easily.”",
CC: Questioning the measurements and science: Methodologies/metrics used are unreliable/faulty,Statements claiming that the scientific methodologies and metrics used to measure climate change are flawed or unreliable.,”The way they measure the data is completely false and misleading. Scientist X debunked it easily by...”,
CC: Questioning the measurements and science: Data shows no temperature increase,Statements asserting that available data does not support the claim of global temperature increase.,Temperature measurements are using faulty equipment and are alarming the world with lied.,
CC: Questioning the measurements and science: Greenhouse effect/carbon dioxide do not drive climate change,Statements asserting that available data does not support the claim of global temperature increase.,”Studies have repeatedly shown that CO2 impact is not correlated with global warming and this is a misconception.”,
CC: Questioning the measurements and science: Scientific community is unreliable,"Statements discrediting scientists, the scientific community and their actions.",”It is a feature of the scientific establishment to overemphasize speculations of climate collapse and silence critics.”,
CC: Criticism of climate movement: Climate movement is alarmist,Statements suggesting that the climate movement exaggerates the severity of climate change for dramatic effect.,The problem with climate hysteria is that it has become so unopposed in activist circles that everybody believes we will be under the sea in a few years.,
CC: Criticism of climate movement: Climate movement is corrupt,"Statements alleging that the climate movement is influenced by ulterior motives, by corruption or by unethical practices.",”The climate protests are not about climate but a gateway drug to communist and radical ideas.”,
CC: Criticism of climate movement: Ad hominem attacks on key activists,"Statements attacking the reputation of key figures (such as scientists, activists, politicians or public figures).","”Greta Thunberg has not worked half a day of her life, but is making claims why I need to change my diet to plant-based.”",
CC: Controversy about green technologies: Renewable energy is dangerous,Statements claiming that renewable energy sources pose significant risks or dangers.,”Solar panels and wind turbines are way worse that coal if you consider how poisonous their materials are.”,
CC: Controversy about green technologies: Renewable energy is unreliable,Statements asserting that renewable energy sources are not dependable for widespread adoption.,”What will you do if you are freezing in the winter when there isn’t sun for weeks? Rely on solar? I don’t think so.”,
CC: Controversy about green technologies: Renewable energy is costly,"Statements asserting that renewable energy sources are too expensive, inefficient and worth adopting for widespread use.",”They are pushing us to spend our hard earned money to price-inflated electric cars and are increasing the price of gas through carbon taxes.”,
CC: Controversy about green technologies: Nuclear energy is not climate friendly,Statements asserting that nuclear sources are or should not be considered as good for the climate.,"”And they are calling nuclear energy, the type that produced the saddest almost world-ending disasters as better than coal. This is hypocrisy.”",
CC: Hidden plots by secret schemes of powerful groups: Blaming global elites,Statements attributing climate change agendas to secretive and powerful global elites.,"”Everything is a plan by the WEF elites, to force the green agenda on regular people that in turn will have to sacrifice their jobs and quality of life.",
CC: Hidden plots by secret schemes of powerful groups: Climate agenda has hidden motives,"Claims that the push for climate action is driven by ulterior motives, such as political power or population control","”Everything is a plan by the WEF elites, to force the green agenda on regular people that in turn will have to sacrifice their jobs and quality of life.”",
CC: Amplifying Climate Fears: Earth will be uninhabitable soon,Statements predicting that the Earth will become uninhabitable in the near future due to climate change.,”With current emissions rate we will not be able to survive what is coming.”,
CC: Amplifying Climate Fears: Amplifying existing fears of global warming,Statements that are using fears related to warming of the earths surface and atmosphere and speculating on side effects to spread panic.,"”Be prepared, it is certain that unless we do something drastic about warming in tropical regions, viruses and bacteria from these regions will be uncontrolled.”",
CC: Amplifying Climate Fears: Doomsday scenarios for humans,Statements presenting intense catastrophic scenarios as results of climate change.,"”It is not overstretching to state that in the next decades, the principal death reason will be climate change, few will survive.”",
CC: Amplifying Climate Fears: Whatever we do it is already too late,Statements that minimize the urgency of addressing climate change by suggesting that any action taken at this point is futile or too late to make a meaningful impact.,"”Environmentalist are trying to protect us for years but the current state of carbon in the atmosphere is already past most thresholds. We have to feel the consequences, no matter what we do.”",
CC: Green policies are geopolitical instruments: Climate-related international relations are abusive/exploitative,Statements criticizing international relations related to climate change as exploitative or economically abusive.,"”Nobody cares about the impact of carbon in the climate, it is only a trick of some governments to impose rules on weaker nations to protect their profits.”",
CC: Green policies are geopolitical instruments: Green activities are a form of neo-colonialism,"Statements suggesting that green initiatives are a way for developed countries to exert control and influence over developing nations, a modern form of colonial practices.","”When Western countries invest in ’green’ initiatives in Africa, they are just washing their neo-colonialist interests.”",
