A9_BG_2707.txt	URW: Speculating war outcomes;URW: Negative Consequences for the West;URW: Overpraising the West	URW: Speculating war outcomes: Other;URW: Negative Consequences for the West: Other
A9_BG_3964.txt	URW: Blaming the war on others rather than the invader;URW: Discrediting Ukraine;URW: Negative Consequences for the West;URW: Discrediting the West, Diplomacy	URW: Blaming the war on others rather than the invader: The West are the aggressors;URW: Blaming the war on others rather than the invader: Ukraine is the aggressor;URW: Blaming the war on others rather than the invader: Other;URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Discrediting Ukraine: Ukraine is a puppet of the West;URW: Negative Consequences for the West: Other;URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Discrediting the West, Diplomacy: Other
A9_BG_3970.txt	URW: Amplifying war-related fears;URW: Discrediting the West, Diplomacy;URW: Speculating war outcomes;URW: Speculating war outcomes;URW: Hidden plots by secret schemes of powerful groups	URW: Amplifying war-related fears: By continuing the war we risk WWIII;URW: Amplifying war-related fears: NATO should/will directly intervene;URW: Amplifying war-related fears: Other;URW: Discrediting the West, Diplomacy: The West is overreacting;URW: Discrediting the West, Diplomacy: Diplomacy does/will not work;URW: Speculating war outcomes: Other;URW: Speculating war outcomes: Other;URW: Hidden plots by secret schemes of powerful groups: Other
A9_BG_4039.txt	URW: Amplifying war-related fears;URW: Negative Consequences for the West;URW: Discrediting the West, Diplomacy	URW: Amplifying war-related fears: By continuing the war we risk WWIII;URW: Amplifying war-related fears: Russia will also attack other countries;URW: Negative Consequences for the West: Sanctions imposed by Western countries will backfire;URW: Negative Consequences for the West: Other;URW: Discrediting the West, Diplomacy: The West is overreacting;URW: Discrediting the West, Diplomacy: Diplomacy does/will not work
BG_1091.txt	Other	Other
A9_BG_8427.txt	URW: Russia is the Victim;URW: Discrediting the West, Diplomacy	URW: Russia is the Victim: The West is russophobic;URW: Russia is the Victim: Other;URW: Discrediting the West, Diplomacy: Other;URW: Discrediting the West, Diplomacy: Other
BG_1146.txt	CC: Amplifying Climate Fears;CC: Amplifying Climate Fears	CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Amplifying existing fears of global warming
A9_BG_4110.txt	URW: Russia is the Victim;URW: Discrediting the West, Diplomacy;URW: Amplifying war-related fears;URW: Negative Consequences for the West	URW: Russia is the Victim: The West is russophobic;URW: Russia is the Victim: UA is anti-RU extremists;URW: Discrediting the West, Diplomacy: The West is overreacting;URW: Discrediting the West, Diplomacy: Other;URW: Amplifying war-related fears: NATO should/will directly intervene;URW: Amplifying war-related fears: Other;URW: Negative Consequences for the West: Other
BG_125.txt	Other	Other
BG_1378.txt	Other	Other
A9_BG_4093.txt	URW: Discrediting the West, Diplomacy;URW: Blaming the war on others rather than the invader;URW: Discrediting Ukraine;URW: Amplifying war-related fears;URW: Hidden plots by secret schemes of powerful groups	URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Discrediting the West, Diplomacy: Other;URW: Blaming the war on others rather than the invader: The West are the aggressors;URW: Blaming the war on others rather than the invader: Other;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Ukraine is a puppet of the West;URW: Discrediting Ukraine: Ukraine is a hub for criminal activities;URW: Discrediting Ukraine: Other;URW: Hidden plots by secret schemes of powerful groups: Other
BG_1455.txt	Other	Other
A9_BG_4076.txt	URW: Discrediting the West, Diplomacy;URW: Negative Consequences for the West;URW: Discrediting the West, Diplomacy;URW: Negative Consequences for the West;URW: Negative Consequences for the West	URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Discrediting the West, Diplomacy: The West is weak;URW: Discrediting the West, Diplomacy: Diplomacy does/will not work;URW: Discrediting the West, Diplomacy: Other;URW: Negative Consequences for the West: Other;URW: Negative Consequences for the West: Other;URW: Negative Consequences for the West: Other;URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Discrediting the West, Diplomacy: The West is weak;URW: Discrediting the West, Diplomacy: Other;URW: Negative Consequences for the West: Other;URW: Negative Consequences for the West: Other;URW: Negative Consequences for the West: Other;URW: Negative Consequences for the West: Other;URW: Negative Consequences for the West: Other;URW: Negative Consequences for the West: Other
BG_1856.txt	Other	Other
BG_1169.txt	CC: Amplifying Climate Fears;CC: Amplifying Climate Fears;CC: Amplifying Climate Fears	CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Whatever we do it is already too late;CC: Amplifying Climate Fears: Other;CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Whatever we do it is already too late;CC: Amplifying Climate Fears: Other;CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Whatever we do it is already too late;CC: Amplifying Climate Fears: Other
BG_212.txt	CC: Amplifying Climate Fears	CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Other
BG_1178.txt	CC: Amplifying Climate Fears;CC: Amplifying Climate Fears;CC: Amplifying Climate Fears	CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Amplifying existing fears of global warming
BG_877.txt	Other	Other
BG_909.txt	Other	Other
BG_950.txt	Other	Other
BG_245.txt	CC: Amplifying Climate Fears;CC: Criticism of climate movement;CC: Criticism of institutions and authorities	CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Whatever we do it is already too late;CC: Criticism of institutions and authorities: Criticism of national governments
BG_73.txt	CC: Amplifying Climate Fears;CC: Criticism of climate policies;CC: Criticism of institutions and authorities	CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Criticism of climate policies: Climate policies are ineffective;CC: Criticism of climate policies: Other;CC: Criticism of institutions and authorities: Criticism of international entities;CC: Criticism of institutions and authorities: Other
BG_63.txt	CC: Amplifying Climate Fears;CC: Amplifying Climate Fears;CC: Amplifying Climate Fears;CC: Amplifying Climate Fears	CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Other;CC: Amplifying Climate Fears: Other;CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Other;CC: Amplifying Climate Fears: Other;CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Other;CC: Amplifying Climate Fears: Other;CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Other;CC: Amplifying Climate Fears: Other
BG_277.txt	CC: Downplaying climate change;CC: Hidden plots by secret schemes of powerful groups;CC: Hidden plots by secret schemes of powerful groups;CC: Criticism of climate policies;CC: Criticism of climate movement	CC: Downplaying climate change: Human activities do not impact climate change;CC: Downplaying climate change: Other;CC: Hidden plots by secret schemes of powerful groups: Climate agenda has hidden motives;CC: Hidden plots by secret schemes of powerful groups: Blaming global elites;CC: Hidden plots by secret schemes of powerful groups: Climate agenda has hidden motives;CC: Hidden plots by secret schemes of powerful groups: Blaming global elites;CC: Criticism of climate policies: Climate policies are only for profit;CC: Criticism of climate policies: Other;CC: Criticism of climate movement: Climate movement is corrupt;CC: Criticism of climate movement: Ad hominem attacks on key activists;CC: Criticism of climate movement: Other
BG_979.txt	CC: Downplaying climate change;CC: Criticism of climate movement;CC: Criticism of climate movement;CC: Criticism of climate policies	CC: Downplaying climate change: Climate cycles are natural;CC: Downplaying climate change: Other;CC: Criticism of climate movement: Climate movement is alarmist;CC: Criticism of climate movement: Ad hominem attacks on key activists;CC: Criticism of climate movement: Other;CC: Criticism of climate movement: Climate movement is alarmist;CC: Criticism of climate movement: Ad hominem attacks on key activists;CC: Criticism of climate movement: Other;CC: Criticism of climate policies: Climate policies have negative impact on the economy;CC: Criticism of climate policies: Climate policies are only for profit
